Обычный','Нильфгаард','Teodorro','Королевства Севера','Поражение','1:2
Обычный','Нильфгаард','lwlodo','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','Muechue','Чудовища','Победа','2:0
Обычный','Нильфгаард','奥兹国的魔术师','Скоя’таэли','Победа','2:0
Обычный','Синдикат','FookiSlash','Чудовища','Поражение','0:2
Обычный','Синдикат','_______2____53','Скеллиге','Победа','2:1
Обычный','Синдикат','UvonD','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','jarlexale','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','lyzech','Скеллиге','Победа','2:0
Обычный','Нильфгаард','Urts_Fouzee','Чудовища','Победа','2:1
Обычный','Нильфгаард','Mixan33','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','Guido_B_chen','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Kevinpras','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','Grzegorz1999','Скеллиге','Победа','2:1
Обычный','Нильфгаард','CRCLARKY','Чудовища','Победа','2:0
Обычный','Нильфгаард','Darekx123','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Ppeximo','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','cfansztyk','Чудовища','Победа','2:0
Обычный','Королевства Севера','BranislavNinaj','Нильфгаард','Поражение','1:2
Обычный','Королевства Севера','MenEstrel8900','Королевства Севера','Поражение','1:2
Обычный','Королевства Севера','Mucka4','Скеллиге','Победа','2:0
Обычный','Королевства Севера','dushyanth','Чудовища','Победа','2:0
Обычный','Королевства Севера','thisisnotflesh','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','emazur_','Чудовища','Победа','2:0
Обычный','Королевства Севера','Vladislavishe','Скеллиге','Победа','2:0
Обычный','Королевства Севера','gyacomo','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','JamesPro97','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','jse77','Чудовища','Победа','2:0
Обычный','Королевства Севера','WhiteCatDarkTail','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','EimaiNinja','Синдикат','Победа','2:0
Обычный','Королевства Севера','Mantas_Nork','Скеллиге','Победа','2:0
Обычный','Королевства Севера','赛季模式互刷平局','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','BaaZaaRi','Скоя’таэли','Победа','2:1
Обычный','Королевства Севера','.SEKIRO.','Чудовища','Победа','2:0
Обычный','Королевства Севера','Berk4960','Чудовища','Победа','2:1
Обычный','Королевства Севера','Freeza-Sama','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','ConcussionPL','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','Phixl','Королевства Севера','Поражение','0:2
Обычный','Нильфгаард','olimann','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','ghs','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','EB4','Синдикат','Победа','2:0
Обычный','Нильфгаард','HcRoN','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','J217','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','ekomich','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','wet_bandit69','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Anton_Adolfsson','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','AngelSanguine','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','btard671','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','VernydubIevgenii','Скеллиге','Победа','2:0
Обычный','Нильфгаард','McLovin6913','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','TheYann1','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','kads1','Чудовища','Победа','2:0
Обычный','Нильфгаард','SkaSpy','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','PeterYork','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','PetitTigre','Скоя’таэли','Победа','2:0
Обычный','Нильфгаард','Massimano','Скеллиге','Победа','2:0
Обычный','Нильфгаард','Nikarh','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','garbonzodotcom','Чудовища','Победа','2:0
Обычный','Нильфгаард','Gusiluz23','Королевства Севера','Поражение','0:2
Обычный','Нильфгаард','dondonnif','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','emksap','Чудовища','Победа','2:0
Обычный','Нильфгаард','baybaaal','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Nomad0889','Чудовища','Победа','2:0
Обычный','Нильфгаард','Neziob','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','Denis2200','Королевства Севера','Победа','2:0
Обычный','Нильфгаард','Excen','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','RedDragon1703','Синдикат','Победа','2:0
Обычный','Нильфгаард','Revo1208','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','Souchastnik','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','Mateusz_Gierlak','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','ikohut','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Deithven','Синдикат','Победа','2:0
Обычный','Нильфгаард','lastcedi','Нильфгаард','Победа','2:0
Обычный','Нильфгаард','Klipper-1988','Чудовища','Победа','2:1
Обычный','Нильфгаард','b00dha89','Скеллиге','Победа','2:0
Обычный','Нильфгаард','Zoobhead','Королевства Севера','Победа','2:1
Обычный','Нильфгаард','NikRogach','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','lis1969','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','ElementAG','Скеллиге','Поражение','1:2
Обычный','Чудовища','PogromcaTheBeast','Королевства Севера','Поражение','1:2
Обычный','Чудовища','Caddaric51','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','Lancerer','Нильфгаард','Победа','2:0
Обычный','Чудовища','kozo123','Королевства Севера','Поражение','1:2
Обычный','Чудовища','Fsv2','Нильфгаард','Поражение','1:2
Обычный','Королевства Севера','DIMON4565','Чудовища','Победа','2:0
Обычный','Чудовища','Vedayn','Скоя’таэли','Победа','2:0
Обычный','Чудовища','rocketfalls9','Нильфгаард','Победа','2:1
Обычный','Чудовища','kostya1994kuhto','Нильфгаард','Победа','2:1
Обычный','Нильфгаард','마_한국인_처음보냐','Синдикат','Победа','2:1
Обычный','Нильфгаард','S7eed_d','Нильфгаард','Поражение','1:2
Обычный','Нильфгаард','airat282','Скоя’таэли','Поражение','1:2
Обычный','Нильфгаард','Yunus437','Чудовища','Победа','2:0
Обычный','Королевства Севера','uberhaxed','Нильфгаард','Поражение','0:2
Обычный','Чудовища','Akhan123','Скеллиге','Победа','2:0
Обычный','Чудовища','VeloLMH','Скоя’таэли','Победа','2:0
Обычный','Чудовища','Faris1511','Скоя’таэли','Поражение','0:2
Обычный','Чудовища','Zeddrax','Скоя’таэли','Победа','2:1
Обычный','Чудовища','Sovereign122','Чудовища','Победа','2:1
Обычный','Чудовища','Squirely','Скоя’таэли','Поражение','0:2
Обычный','Чудовища','DamianBrady','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','Dromgaard','Нильфгаард','Поражение','1:2
Обычный','Королевства Севера','Chrisjosh','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Tijjn','Скеллиге','Победа','2:0
Обычный','Королевства Севера','XandeMD','Королевства Севера','Поражение','0:2
Обычный','Королевства Севера','kath1703','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','AhsanRuhon','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','agabysss','Чудовища','Победа','2:0
Обычный','Королевства Севера','Marchenator','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Captain_Caffeine','Нильфгаард','Поражение','0:2
Обычный','Королевства Севера','Jambi_J','Королевства Севера','Победа','2:1
Обычный','Королевства Севера','F8X','Королевства Севера','Победа','2:0
Обычный','Королевства Севера','misiekcz','Скеллиге','Поражение','1:2
Обычный','Королевства Севера','takletsova','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','zefirsyagodoi','Скоя’таэли','Победа','2:0
Обычный','Королевства Севера','Ptulichka','Нильфгаард','Победа','2:1
Обычный','Королевства Севера','xitnik62','Синдикат','Победа','2:0
Обычный','Королевства Севера','Chi25','Чудовища','Победа','2:0
Обычный','Королевства Севера','GroszDlaWiedzmina','Чудовища','Победа','2:0
Обычный','Королевства Севера','WiNDDD1988','Нильфгаард','Победа','2:0
Обычный','Королевства Севера','デトラフの眷属','Синдикат','Поражение','1:2
